Date/Time,Energy Produced (Wh)
11/01/2015,"3,043"
11/02/2015,"2,482"
11/03/2015,"2,670"
11/04/2015,"1,835"
11/05/2015,"2,741"
11/06/2015,"1,894"
11/07/2015,"6,200"
11/08/2015,"6,380"
11/09/2015,"6,204"
11/10/2015,"5,435"
11/11/2015,"2,711"
11/12/2015,493
11/13/2015,"2,293"
11/14/2015,"4,314"
11/15/2015,"5,412"
11/16/2015,"1,959"
11/17/2015,490
11/18/2015,546
11/19/2015,"2,631"
11/20/2015,"3,406"
11/21/2015,"1,302"
11/22/2015,"3,188"
11/23/2015,"3,192"
11/24/2015,"3,288"
11/25/2015,"1,516"
11/26/2015,138
11/27/2015,608
11/28/2015,"5,231"
11/29/2015,"4,342"
11/30/2015,792
12/01/2015,762
12/02/2015,"2,396"
12/03/2015,"1,417"
12/04/2015,"4,630"
12/05/2015,"4,656"
12/06/2015,643
12/07/2015,218
12/08/2015,"1,067"
12/09/2015,"4,068"
12/10/2015,"1,343"
12/11/2015,382
12/12/2015,486
12/13/2015,189
12/14/2015,433
12/15/2015,640
12/16/2015,951
12/17/2015,748
12/18/2015,"1,176"
12/19/2015,"4,624"
12/20/2015,"2,261"
12/21/2015,140
12/22/2015,397
12/23/2015,211
12/24/2015,"2,687"
12/25/2015,740
12/26/2015,303
12/27/2015,"1,657"
12/28/2015,224
12/29/2015,651
12/30/2015,"1,475"
12/31/2015,"1,230"
01/01/2016,"1,446"
01/02/2016,"4,915"
01/03/2016,630
01/04/2016,"4,159"
01/05/2016,"4,650"
01/06/2016,"2,860"
01/07/2016,589
01/08/2016,362
01/09/2016,572
01/10/2016,"5,183"
01/11/2016,"3,709"
01/12/2016,"5,083"
01/13/2016,"1,029"
01/14/2016,"1,240"
01/15/2016,420
01/16/2016,"5,720"
01/17/2016,"4,642"
01/18/2016,"5,726"
01/19/2016,"5,262"
01/20/2016,"4,953"
01/21/2016,653
01/22/2016,980
01/23/2016,"1,606"
01/24/2016,504
01/25/2016,"1,258"
01/26/2016,"1,214"
01/27/2016,"2,843"
01/28/2016,"2,098"
01/29/2016,"3,994"
01/30/2016,"3,406"
01/31/2016,834
02/01/2016,"6,330"
02/02/2016,307
02/03/2016,548
02/04/2016,"4,035"
02/05/2016,"4,568"
02/06/2016,"1,113"
02/07/2016,"4,146"
02/08/2016,"1,140"
02/09/2016,"4,422"
02/10/2016,"7,832"
02/11/2016,"8,417"
02/12/2016,"7,387"
02/13/2016,"8,716"
02/14/2016,"5,799"
02/15/2016,"2,465"
02/16/2016,"1,248"
02/17/2016,"8,784"
02/18/2016,"3,057"
02/19/2016,"3,882"
02/20/2016,"6,423"
02/21/2016,"1,116"
02/22/2016,324
02/23/2016,518
02/24/2016,"1,107"
02/25/2016,"1,248"
02/26/2016,"2,168"
02/27/2016,"5,556"
02/28/2016,"3,023"
02/29/2016,"5,216"
03/01/2016,"1,269"
03/02/2016,"6,800"
03/03/2016,"4,640"
03/04/2016,"3,438"
03/05/2016,"1,689"
03/06/2016,"6,411"
03/07/2016,"5,865"
03/08/2016,"4,602"
03/09/2016,"3,305"
03/10/2016,"2,806"
03/11/2016,"4,857"
03/12/2016,"7,890"
03/13/2016,"1,323"
03/14/2016,"3,456"
03/15/2016,"2,869"
03/16/2016,"1,949"
03/17/2016,"3,486"
03/18/2016,"2,555"
03/19/2016,"3,520"
03/20/2016,"10,003"
03/21/2016,"7,949"
03/22/2016,"4,220"
03/23/2016,"1,007"
03/24/2016,"1,075"
03/25/2016,"10,318"
03/26/2016,"8,272"
03/27/2016,"1,133"
03/28/2016,"9,979"
03/29/2016,"8,876"
03/30/2016,"1,683"
03/31/2016,"1,187"
04/01/2016,"6,412"
04/02/2016,"4,118"
04/03/2016,"3,477"
04/04/2016,"5,703"
04/05/2016,"8,630"
04/06/2016,"1,532"
04/07/2016,"3,192"
04/08/2016,"2,616"
04/09/2016,"8,762"
04/10/2016,"3,221"
04/11/2016,"4,901"
04/12/2016,"10,350"
04/13/2016,"2,342"
04/14/2016,"9,569"
04/15/2016,"9,710"
04/16/2016,"9,482"
04/17/2016,"9,437"
04/18/2016,"8,421"
04/19/2016,"2,055"
04/20/2016,"7,335"
04/21/2016,"5,513"
04/22/2016,"7,278"
04/23/2016,"9,478"
04/24/2016,"1,664"
04/25/2016,"7,090"
04/26/2016,"3,747"
04/27/2016,"7,952"
04/28/2016,"1,997"
04/29/2016,"8,190"
04/30/2016,"4,141"
05/01/2016,"6,772"
05/02/2016,"10,159"
05/03/2016,"7,753"
05/04/2016,"4,475"
05/05/2016,"10,634"
05/06/2016,"9,723"
05/07/2016,"9,613"
05/08/2016,"9,237"
05/09/2016,"8,682"
05/10/2016,"1,194"
05/11/2016,"3,044"
05/12/2016,"5,658"
05/13/2016,"3,358"
05/14/2016,"4,918"
05/15/2016,"7,912"
05/16/2016,"8,221"
05/17/2016,"10,965"
05/18/2016,"10,467"
05/19/2016,"10,160"
05/20/2016,"9,542"
05/21/2016,"9,634"
05/22/2016,"9,481"
05/23/2016,"8,701"
05/24/2016,"7,131"
05/25/2016,"5,963"
05/26/2016,"8,115"
05/27/2016,"3,426"
05/28/2016,"4,979"
05/29/2016,"6,225"
05/30/2016,"9,970"
05/31/2016,"6,748"
06/01/2016,"7,122"
06/02/2016,"7,167"
06/03/2016,"9,247"
06/04/2016,"4,103"
06/05/2016,"8,009"
06/06/2016,"5,761"
06/07/2016,"5,721"
06/08/2016,"10,475"
06/09/2016,"8,335"
06/10/2016,"8,716"
06/11/2016,"9,599"
06/12/2016,"9,019"
06/13/2016,"4,029"
06/14/2016,"7,791"
06/15/2016,"5,352"
06/16/2016,"3,642"
06/17/2016,"9,766"
06/18/2016,"9,292"
06/19/2016,"9,314"
06/20/2016,"10,133"
06/21/2016,"9,067"
06/22/2016,"3,971"
06/23/2016,"2,871"
06/24/2016,"5,006"
06/25/2016,"8,613"
06/26/2016,"8,866"
06/27/2016,"7,147"
06/28/2016,"10,125"
06/29/2016,"8,557"
06/30/2016,"3,923"
07/01/2016,"10,166"
07/02/2016,"8,861"
07/03/2016,"9,675"
07/04/2016,"7,731"
07/05/2016,"9,354"
07/06/2016,"6,944"
07/07/2016,"3,628"
07/08/2016,"6,957"
07/09/2016,"9,581"
07/10/2016,"5,659"
07/11/2016,"8,115"
07/12/2016,"6,757"
07/13/2016,"8,553"
07/14/2016,"6,144"
07/15/2016,"4,654"
07/16/2016,"6,510"
07/17/2016,"5,420"
07/18/2016,"9,395"
07/19/2016,"9,400"
07/20/2016,"6,809"
07/21/2016,"4,193"
07/22/2016,"9,164"
07/23/2016,"5,218"
07/24/2016,"4,262"
07/25/2016,"9,162"
07/26/2016,"9,521"
07/27/2016,"4,590"
07/28/2016,"3,603"
07/29/2016,"3,975"
07/30/2016,"9,640"
07/31/2016,"7,518"
08/01/2016,"9,547"
08/02/2016,"8,748"
08/03/2016,"8,262"
08/04/2016,"5,460"
08/05/2016,"8,482"
08/06/2016,"8,741"
08/07/2016,"6,061"
08/08/2016,"9,441"
08/09/2016,"7,972"
08/10/2016,"7,414"
